grupo,data,hora,mandante,gols_mandante,gols_visitante,visitante,placar,intervalo,sede,disputado,marcadores
F,2026-06-25,18:00,Tunisia,,,Netherlands,,,Kansas City,False,
G,2026-06-15,12:00,Belgium,1,1,Egypt,1-1,0-1,Seattle,True,Mohamed Hany 66'(og); Emam Ashour 19'
G,2026-06-15,18:00,Iran,2,2,New Zealand,2-2,1-1,Los Angeles (Inglewood),True,"Ramin Rezaeian 32' Mohammad Mohebbi 64'; Elijah Just 7', 54'"
G,2026-06-21,12:00,Belgium,0,0,Iran,0-0,0-0,Los Angeles (Inglewood),True,
G,2026-06-21,18:00,New Zealand,1,3,Egypt,1-3,1-0,Vancouver,True,Finn Surman 15'; Mostafa Zico 58' Mohamed Salah 67' Trézéguet 82'
G,2026-06-26,20:00,Egypt,,,Iran,,,Seattle,False,
G,2026-06-26,20:00,New Zealand,,,Belgium,,,Vancouver,False,
H,2026-06-15,12:00,Spain,0,0,Cape Verde,0-0,0-0,Atlanta,True,
H,2026-06-15,18:00,Saudi Arabia,1,1,Uruguay,1-1,1-0,Miami (Miami Gardens),True,Abdulelah Al-Amri 41'; Maxi Araújo 80'
H,2026-06-21,12:00,Spain,4,0,Saudi Arabia,4-0,3-0,Atlanta,True,"Lamine Yamal 10' Mikel Oyarzabal 21',24' Hassan Al-Tambakti 49'(og"
H,2026-06-21,18:00,Uruguay,2,2,Cape Verde,2-2,2-1,Miami (Miami Gardens),True,Maxi Araújo 44' Agustín Cano 45+6'; Kevin Pina 21' Hélio Varela 61'
H,2026-06-26,19:00,Cape Verde,,,Saudi Arabia,,,Houston,False,
H,2026-06-26,18:00,Uruguay,,,Spain,,,Guadalajara (Zapopan),False,
I,2026-06-16,15:00,France,3,1,Senegal,3-1,0-0,New York/New Jersey (East Rutherford),True,"Kylian Mbappé 66',90+6' Bradley Barcola 82'; Ibrahim Mbaye 90+5'"
I,2026-06-16,18:00,Iraq,1,4,Norway,1-4,1-2,Boston (Foxborough),True,"Aymen Hussein 39'; Erling Haaland 29',43' Leo Østigard 76' Aymen Hussein 90+6'(og"
I,2026-06-22,17:00,France,3,0,Iraq,3-0,1-0,Philadelphia,True,"Kylian Mbappé 14',54' Ousmane Dembélé 66'"
I,2026-06-22,20:00,Norway,3,2,Senegal,3-2,1-0,New York/New Jersey (East Rutherford),True,"Marcus Holmgren Pedersen 43' Erling Haaland 48', 58'; Ismaïla Sarr 53',90+3'"
I,2026-06-26,15:00,Norway,,,France,,,Boston (Foxborough),False,
I,2026-06-26,15:00,Senegal,,,Iraq,,,Toronto,False,
J,2026-06-16,20:00,Argentina,3,0,Algeria,3-0,1-0,Kansas City,True,"Lionel Messi 17',60',76'"
J,2026-06-16,21:00,Austria,3,1,Jordan,3-1,1-0,San Francisco Bay Area (Santa Clara),True,Romano Schmid 21' Yazan Al-Arab 76'(og) Marko Arnautovic 90+12'(p); Ali Olwan 50'
J,2026-06-22,12:00,Argentina,2,0,Austria,2-0,1-0,Dallas (Arlington),True,"Lionel Messi 38',90+5'"
J,2026-06-22,20:00,Jordan,1,2,Algeria,1-2,1-0,San Francisco Bay Area (Santa Clara),True,Nizar Al-Rashdan 36'; Nadhir Benbouali 69' Amine Gouiri 82'
J,2026-06-27,21:00,Algeria,,,Austria,,,Kansas City,False,
J,2026-06-27,21:00,Jordan,,,Argentina,,,Dallas (Arlington),False,
K,2026-06-17,12:00,Portugal,1,1,DR Congo,1-1,1-1,Houston,True,João Neves 6'; Yoane Wissa 45+5'
K,2026-06-17,20:00,Uzbekistan,1,3,Colombia,1-3,0-1,Mexico City,True,Abbosbek Fayzullaev 60'; Daniel Muñoz 40' Luis Díaz 65' Jáminton Campaz 90+9'
K,2026-06-23,12:00,Portugal,5,0,Uzbekistan,5-0,3-0,Houston,True,"Cristiano Ronaldo 6',39' Nuno Mendes 17' Abduvohid Nematov 60'(og) Rafael Leão 87'"
K,2026-06-23,20:00,Colombia,1,0,DR Congo,1-0,0-0,Guadalajara (Zapopan),True,Daniel Muñoz 76'
K,2026-06-27,19:30,Colombia,,,Portugal,,,Miami (Miami Gardens),False,
K,2026-06-27,19:30,DR Congo,,,Uzbekistan,,,Atlanta,False,
L,2026-06-17,15:00,England,4,2,Croatia,4-2,2-2,Dallas (Arlington),True,"Harry Kane 12'(p),42' Jude Bellingham 47' Marcus Rashford 85'; Martin Baturina 36' Petar Musa 45+5'"
L,2026-06-17,19:00,Ghana,1,0,Panama,1-0,0-0,Toronto,True,Caleb Yirenkyi 90+5'
L,2026-06-23,16:00,England,0,0,Ghana,0-0,0-0,Boston (Foxborough),True,
L,2026-06-23,19:00,Panama,0,1,Croatia,0-1,0-0,Toronto,True,Ante Budimir 54'
L,2026-06-27,17:00,Panama,,,England,,,New York/New Jersey (East Rutherford),False,
L,2026-06-27,17:00,Croatia,,,Ghana,,,Philadelphia,False,
